... building the model
... training
epoch 409, test error 94, learning_rate=0.44184049964
epoch 410, test error 90, learning_rate=0.440956830978 **
epoch 411, test error 96, learning_rate=0.440074920654
epoch 412, test error 94, learning_rate=0.439194768667
epoch 413, test error 101, learning_rate=0.438316404819
epoch 414, test error 100, learning_rate=0.437439769506
epoch 415, test error 98, learning_rate=0.43656489253
epoch 416, test error 97, learning_rate=0.435691773891
epoch 417, test error 102, learning_rate=0.434820413589
epoch 418, test error 101, learning_rate=0.433950781822
epoch 419, test error 98, learning_rate=0.43308287859
epoch 420, test error 101, learning_rate=0.432216733694
epoch 421, test error 96, learning_rate=0.431352317333
epoch 422, test error 97, learning_rate=0.430489629507
epoch 423, test error 103, learning_rate=0.429628670216
epoch 424, test error 95, learning_rate=0.428769409657
epoch 425, test error 97, learning_rate=0.427911877632
epoch 426, test error 97, learning_rate=0.427056074142
epoch 427, test error 100, learning_rate=0.426201969385
epoch 428, test error 92, learning_rate=0.42534956336
epoch 429, test error 100, learning_rate=0.42449888587
epoch 430, test error 99, learning_rate=0.423649907112
epoch 431, test error 105, learning_rate=0.422802627087
epoch 432, test error 104, learning_rate=0.421957045794
epoch 433, test error 102, learning_rate=0.42111313343
epoch 434, test error 96, learning_rate=0.4202709198
epoch 435, test error 100, learning_rate=0.419430375099
epoch 436, test error 94, learning_rate=0.418591529131
epoch 437, test error 104, learning_rate=0.417754352093
epoch 438, test error 97, learning_rate=0.416918843985
epoch 439, test error 92, learning_rate=0.416085004807
epoch 440, test error 96, learning_rate=0.415252834558
epoch 441, test error 104, learning_rate=0.414422333241
epoch 442, test error 103, learning_rate=0.413593500853
epoch 443, test error 95, learning_rate=0.412766337395
epoch 444, test error 95, learning_rate=0.411940813065
epoch 445, test error 97, learning_rate=0.411116927862
epoch 446, test error 100, learning_rate=0.41029471159
epoch 447, test error 94, learning_rate=0.409474134445
epoch 448, test error 98, learning_rate=0.408655196428
epoch 449, test error 101, learning_rate=0.407837897539
epoch 450, test error 93, learning_rate=0.407022237778
epoch 451, test error 94, learning_rate=0.406208217144
epoch 452, test error 95, learning_rate=0.405395805836
epoch 453, test error 90, learning_rate=0.404585033655
epoch 454, test error 99, learning_rate=0.4037758708
epoch 455, test error 93, learning_rate=0.40296831727
epoch 456, test error 90, learning_rate=0.402162402868
epoch 457, test error 91, learning_rate=0.401358097792
epoch 458, test error 89, learning_rate=0.40055540204 **
epoch 459, test error 91, learning_rate=0.399754315615
epoch 460, test error 99, learning_rate=0.398954808712
epoch 461, test error 93, learning_rate=0.398156911135
epoch 462, test error 93, learning_rate=0.397360593081
epoch 463, test error 91, learning_rate=0.396565884352
epoch 464, test error 99, learning_rate=0.395772755146
epoch 465, test error 99, learning_rate=0.394981205463
epoch 466, test error 100, learning_rate=0.394191265106
epoch 467, test error 100, learning_rate=0.393402904272
epoch 468, test error 102, learning_rate=0.392616122961
epoch 469, test error 96, learning_rate=0.391830891371
epoch 470, test error 97, learning_rate=0.391047239304
epoch 471, test error 96, learning_rate=0.390265166759
epoch 472, test error 94, learning_rate=0.389484643936
epoch 473, test error 93, learning_rate=0.388705670834
epoch 474, test error 97, learning_rate=0.387928277254
epoch 475, test error 97, learning_rate=0.387152433395
epoch 476, test error 100, learning_rate=0.386378139257
epoch 477, test error 104, learning_rate=0.38560539484
epoch 478, test error 104, learning_rate=0.384834200144
epoch 479, test error 103, learning_rate=0.384064555168
epoch 480, test error 96, learning_rate=0.383296430111
epoch 481, test error 101, learning_rate=0.382529854774
epoch 482, test error 98, learning_rate=0.381764799356
epoch 483, test error 102, learning_rate=0.381001293659
epoch 484, test error 94, learning_rate=0.38023930788
epoch 485, test error 99, learning_rate=0.37947884202
epoch 486, test error 99, learning_rate=0.378719896078
epoch 487, test error 101, learning_rate=0.377962470055
epoch 488, test error 97, learning_rate=0.37720656395
epoch 489, test error 94, learning_rate=0.376452147961
epoch 490, test error 101, learning_rate=0.37569925189
epoch 491, test error 96, learning_rate=0.374947875738
epoch 492, test error 100, learning_rate=0.374197989702
epoch 493, test error 93, learning_rate=0.373449593782
epoch 494, test error 90, learning_rate=0.372702717781
epoch 495, test error 92, learning_rate=0.371957331896
epoch 496, test error 95, learning_rate=0.371213436127
epoch 497, test error 98, learning_rate=0.370471030474
epoch 498, test error 95, learning_rate=0.369730085135
epoch 499, test error 96, learning_rate=0.368990629911
epoch 500, test error 96, learning_rate=0.368252664804
epoch 501, test error 102, learning_rate=0.367516160011
epoch 502, test error 100, learning_rate=0.366781145334
epoch 503, test error 104, learning_rate=0.366047590971
epoch 504, test error 98, learning_rate=0.365315496922
epoch 505, test error 100, learning_rate=0.364584863186
epoch 506, test error 101, learning_rate=0.363855689764
epoch 507, test error 97, learning_rate=0.363127976656
epoch 508, test error 97, learning_rate=0.362401723862
epoch 509, test error 97, learning_rate=0.361676931381
epoch 510, test error 100, learning_rate=0.360953599215
epoch 511, test error 94, learning_rate=0.360231697559
epoch 512, test error 96, learning_rate=0.359511256218
epoch 513, test error 102, learning_rate=0.358792245388
epoch 514, test error 104, learning_rate=0.35807466507
epoch 515, test error 98, learning_rate=0.357358515263
epoch 516, test error 100, learning_rate=0.356643795967
epoch 517, test error 102, learning_rate=0.355930507183
epoch 518, test error 98, learning_rate=0.355218648911
epoch 519, test error 100, learning_rate=0.354508221149
epoch 520, test error 99, learning_rate=0.3537992239
epoch 521, test error 95, learning_rate=0.353091627359
epoch 522, test error 102, learning_rate=0.35238546133
epoch 523, test error 96, learning_rate=0.351680696011
epoch 524, test error 92, learning_rate=0.3509773314
epoch 525, test error 98, learning_rate=0.350275397301
epoch 526, test error 95, learning_rate=0.349574863911
epoch 527, test error 97, learning_rate=0.34887573123
epoch 528, test error 96, learning_rate=0.348177999258
epoch 529, test error 101, learning_rate=0.347481638193
epoch 530, test error 96, learning_rate=0.346786677837
epoch 531, test error 97, learning_rate=0.346093118191
epoch 532, test error 99, learning_rate=0.345400929451
epoch 533, test error 94, learning_rate=0.34471014142
epoch 534, test error 97, learning_rate=0.344020724297
epoch 535, test error 95, learning_rate=0.34333267808
epoch 536, test error 96, learning_rate=0.342646032572
epoch 537, test error 93, learning_rate=0.341960757971
epoch 538, test error 96, learning_rate=0.341276854277
epoch 539, test error 94, learning_rate=0.340594321489
epoch 540, test error 93, learning_rate=0.339913129807
epoch 541, test error 96, learning_rate=0.339233309031
epoch 542, test error 98, learning_rate=0.338554859161
epoch 543, test error 97, learning_rate=0.337877750397
epoch 544, test error 95, learning_rate=0.337202012539
epoch 545, test error 98, learning_rate=0.336527615786
epoch 546, test error 98, learning_rate=0.335854560137
epoch 547, test error 96, learning_rate=0.335182845592
epoch 548, test error 98, learning_rate=0.334512501955
epoch 549, test error 96, learning_rate=0.333843499422
epoch 550, test error 97, learning_rate=0.333175808191
epoch 551, test error 90, learning_rate=0.332509458065
epoch 552, test error 97, learning_rate=0.331844449043
epoch 553, test error 98, learning_rate=0.331180781126
epoch 554, test error 97, learning_rate=0.330518424511
epoch 555, test error 97, learning_rate=0.329857409
epoch 556, test error 91, learning_rate=0.329197704792
epoch 557, test error 94, learning_rate=0.328539311886
epoch 558, test error 95, learning_rate=0.327882230282
epoch 559, test error 94, learning_rate=0.32722645998
epoch 560, test error 93, learning_rate=0.32657200098
epoch 561, test error 96, learning_rate=0.325918853283
epoch 562, test error 92, learning_rate=0.325267016888
epoch 563, test error 95, learning_rate=0.324616491795
epoch 564, test error 95, learning_rate=0.323967278004
epoch 565, test error 99, learning_rate=0.323319345713
epoch 566, test error 94, learning_rate=0.322672724724
